"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm24352",0,NA,NA,NA,NA,NA
"Lao1",1.08685180602232,1.60372601596733,2.62606106799451,0.610696390694403,0.541400595928925,0.977178756916937
"Gm12863",0,NA,NA,NA,NA,NA
"Gm12856",0,NA,NA,NA,NA,NA
"Olfr1328",0,NA,NA,NA,NA,NA
"Olfr1329",0,NA,NA,NA,NA,NA
"Gm12865",0,NA,NA,NA,NA,NA
"Olfr1330",0,NA,NA,NA,NA,NA
"Olfr1331",0,NA,NA,NA,NA,NA
"Olfr1332-ps1",0,NA,NA,NA,NA,NA
"Olfr1333",0,NA,NA,NA,NA,NA
"Olfr1335",0,NA,NA,NA,NA,NA
"Gm12855",0,NA,NA,NA,NA,NA
"Olfr1337",0,NA,NA,NA,NA,NA
"Olfr1338",0,NA,NA,NA,NA,NA
"Olfr1339",0,NA,NA,NA,NA,NA
"Olfr1340",0,NA,NA,NA,NA,NA
"Gm21942",0,NA,NA,NA,NA,NA
"Olfr1341",0,NA,NA,NA,NA,NA
"Olfr1342",0,NA,NA,NA,NA,NA
"Olfr1343-ps1",0,NA,NA,NA,NA,NA
"Olfr62",0,NA,NA,NA,NA,NA
"Gm12853",0,NA,NA,NA,NA,NA
"D4Ertd617e",0,NA,NA,NA,NA,NA
"Ebna1bp2",0,NA,NA,NA,NA,NA
"Gm52677",0,NA,NA,NA,NA,NA
"Cfap57",14.9901064112762,-0.879190728066878,2.72909719670883,-0.322154421296223,0.747335711782077,0.977178756916937
"Gm40237",0,NA,NA,NA,NA,NA
"Tmem125",0,NA,NA,NA,NA,NA
"2610528J11Rik",0,NA,NA,NA,NA,NA
"Gm12857",0,NA,NA,NA,NA,NA
"Gm12859",0,NA,NA,NA,NA,NA
"Tie1",0,NA,NA,NA,NA,NA
"Mpl",0,NA,NA,NA,NA,NA
"Cdc20",0,NA,NA,NA,NA,NA
"Elovl1",0,NA,NA,NA,NA,NA
"Med8",0,NA,NA,NA,NA,NA
"Szt2",0,NA,NA,NA,NA,NA
"Hyi",0,NA,NA,NA,NA,NA
"Gm52705",0,NA,NA,NA,NA,NA
"Gm40235",0,NA,NA,NA,NA,NA
